a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source	
2500	0.543	"Bu gerçek bir endişe ve birilerinin bir oda kiralayıp orada oturup bir antrenmanı videoya çekeceğini düşünmek çok da uçuk değil.	"That is a real concern and it's not far-fetched to think that people can rent a room and sit up there and videotape a practice.	"It's a real concern, and it's not too cold to think that someone will rent a room and sit there and videotape a workout.	0			
399	0.543	5 Haziran'da TIME'a konuşan Wiranto, Papua'da bir şikayet mekanizması kurma planının olmadığını söyleyerek geri adım attı.	Then Wiranto backtracked when speaking to TIME in Jakarta on June 5, saying he has no plans to establish a grievance mechanism in Papua.	Speaking to time on June 5, Wiranto stepped back saying he had no plans to set up a complaint mechanism in Papua.	0			
493	0.546	Yani TSA tarafından el koyulan en büyük miktardaki maddenin yasaklı sıvılar olarak ortaya çıkması sürpriz değil.	So it's no surprise that the largest amount of stuff seized by the TSA happens to be forbidden liquids.	So it is no surprise that the largest amount of substances seized by the TSA came into being as prohibited liquids.	0			
2042	0.547	"Eğer onların kadınlarıyla, çocuklarıyla, temiz işleriyle, uyuşturucu nakletmek için kullandıkları gizli uçak pistleriyle uğraşırsanız bu hoşlarına gitmiyor."	"They don't like it if you mess with their women, their children, their clean businesses, their clandestine airstrips" used to move drugs.	"They don't like it if you deal with their women, their children, their clean jobs, their secret aircrafts they use to transport drugs."	0			
1356	0.549	Coğrafi koşullar, hastalık, engellilik gibi nedenlerle para çekmeye gidemeyenlere kapıda ödeme yapılacak.	For those who cannot go out to withdraw money because of geographic conditions, specific illnesses or disability, payments will be delivered to their door.	Those who are unable to withdraw money due to geographical conditions, disease and disability will be paid at the door.	0			
1885	0.551	Diğer alanda bir başarısızlık değil, başarı var.	In other fields, there is success, not failure.	There is success in the other field, not failure.	0			
1834	0.553	Sorumluluğu kabul etmedi." dedi.	She has not accepted responsibility," she said.	He didn't take responsibility." quoth.	0			
578	0.553	27 Ocak'ta Meksika başkanı Enrique Pena Nieto ile olan bir telefon görüşmesinde Trump, teklif edilen sınır duvarı için ödeme yapmayacağını halka açık olarak söylememesi konusunda onu sıkıştırdı.	On 27th January in a phone call to Mexican president, Enrique Pena Nieto, Trump urged him to stop publicly saying he would not pay for a proposed border wall.	In a telephone conversation with Mexican President Enrique Pena Nieto on January 27, Trump pressed him not to publicly say that he would not pay for the proposed border wall.	0			
81	0.553	Bunun da altını çizmem lazım; referandum bizim için bir amaç değil ancak daha büyük hedefe ulaşmamız için bir araçtır.	We have to stress this as well: The referendum is not an end in itself, but rather a means to reach to a larger goal.	I have to underline this: the referendum is not a goal for us, but a means to achieve a greater goal.	0			
2016	0.554	Sinaloa'da sokakta her gün birinin ya da birçok kişinin vurulup öldürülmesini ya da mezarlığın uyuşturucu krallarının süslü, iki katlı, yaşamak için olan birçok evden daha büyük mozoleleriyle dolu olmasını boş verin.	Never mind that someone or several people are shot dead in the street every day in Sinaloa, or that the cemetery is filled with ornate, two-story mausoleums for drug kings, larger than many homes for the living.	Never mind that every day on the street in Sinaloa, one or many people are shot and killed, or that the cemetery is filled with more mausoleums than many fancy, two-story houses to live with.	0			
1632	0.567	"Evde, duvardaki elektrik hatlarına aşık olmazsınız.	"You don't fall in love with the electrical feeds in the walls.	"At home, you don't fall in love with the power lines on the wall.	0			
742	0.571	Şöyle dedi: "Linç hakkında konuşmak istemiyoruz çünkü tümümüzü içlerimizdeki çirkinlikle yüzleştiriyor bu."	"We don't want to talk about the lynching because it makes us face the ugliness in all of us," she said.	He said, "We don't want to talk about lynching because it's confronting all of us with the ugly inside of us."	0			
2022	0.571	İkinci hata, aynı hikayenin yer aldığı başka bir gazeteye el konulmasından sonra Valdez'i, kendi güvenliği için ülkeyi terk etmeye zorlamamak oldu.	The second mistake was not forcing Valdez to leave the country for his own safety after the seizure of another newspaper that carried the same story.	The second mistake was not to force Valdez to leave the country for his own safety after the confiscation of another newspaper with the same story.	0			
2300	0.572	NBC Sports'a konuşan Irving, "Dünya yuvarlak değil."	Talking to NBC Sports, Irving said "The world is not round."	Speaking to NBC sports, Irving, "the world is not round."	0			
1776	0.598	Aşırı kilo, hareketsiz yaşam, uzun süreli oturarak iş yapma, yoğun saç ve vücut kılı ile hijyen kurallarına uymamanın kıl dönmesine sebep olduğunu belirten Dr. Mert Atak, hastalığın belirtileri arasında kuyruk sokumunda ağrı, enfeksiyon, apse ve şişlik gibi rahatsızlıkların bulunduğunu belitti.	While noting that being overweight, having a sedentary lifestyle, working seated for long periods of time, having dense hair and body hair, and not following the basic rules of hygiene each lead to pilonidal sinus, Dr. Mert Atak said the symptoms of the disease include sacral pain, infection, abscesses and swelling.	Excessive weight, still life, long-term sitting to do business, intense hair and body hair and hygiene rules with the cause of hair dönmeyeceğinin stating that the hair dönmemek. Mert attack, symptoms of the disease between the tail socket pain, infection, abscess and swelling such as belitti there are diseases.	1			
2643	0.612	Gilead Cumhuriyeti ani bir değişim fakat şu anda pek de öyle büyük bir değişimmiş gibi hissettirmiyor.	The Republic of Gilead is a leap, but, right now, it doesn't feel like a large one.	The Republic of Gilead is a sudden change, but it doesn't feel like it's a big change right now.	0			
256	0.622	İktidara yakın kaynak dedi ki: - "Geleneksel ulemaya göre, Mehmet Dönmez ehli sünnete sahip çıkmadı!"	A source close to the government said: - "According to scholars, Mehmet Görmez did not look out for orthodox followers of the sunnah!"	- According to the traditional ulama, Mehmet Dönmez did not have the people of the Sunnah!"	1			
1084	0.631	Biyolojik yaşa bu şekilde karar vermek çok şüpheli.	Judging biological age in this way is very uncertain.	It's very doubtful to decide on the biological age this way.	0			
199	0.631	Bu kadar zor olmamalı.	This shouldn't be so hard.	It shouldn't be that hard.	0			
1172	0.631	Küba'daki antrenörüm bana inanmıyordu.	My coach in Cuba did not believe me.	My coach in Cuba didn't believe me.	0			
1258	0.634	Suudi Arabistan özelinde de, iki ülke negatif açıklama yapmama konusunda dikkat ediyor.	In particular with regards to Saudi Arabia, both countries are paying special attention to not make any negative public statements.	In Saudi Arabia, the two countries are paying attention not to make any negative statements.	0			
36	0.639	Çalışmalar gösteriyor ki önümüzdeki 300-400 yıl boyunca çok ciddi yıkımlara neden olacak derecede dev bir asteroidin Dünya'ya çarpması beklenmiyor.	According to studies, no asteroid large enough to cause serious destruction is expected to collide with the Earth in the next 300–400 years.	Studies show that for the next 300-400 years, a giant asteroid is not expected to hit Earth, causing serious devastation.	0	interesting how the change in form shifts the interpretation		
1230	0.646	Sadece Türkiye'ye yatırımlar anlamında değil, bundan dolayı bazı gecikmeler yaşıyor olabiliriz.	This is not only about investments in Turkey, but because of this we could be experiencing some delays.	Not only in terms of investments in Turkey, we may be experiencing delays due to this.	0			
2770	0.652	Baş araştırmacı Dr. Marco Colonna, bağışıklık hücrelerinin yemekte saklanan mikropların vücuda gizlice girmemesi için bağırsaklarda devriye gezdiğini ifade etti.	Lead investigator Dr Marco Colonna explained immune cells patrol the gut to ensure that harmful microbes hidden in the food don't sneak into the body.	Chief of staff, prof. Marco Colonna said that the immune cells are patrolling the intestines so that the germs that are stored in the food do not enter the body.	0			
2633	0.653	Seks robotlarının yükselişiyle ilgili birçok rahatsız edici taraf var: Sadece gerçek insani ilişkilerin yerini alması değil fakat fazlasıyla itaatkar kadın kişilik özellikleri, Frijit Farah'a yaklaşırkenki tecavüzsel çağrışımlar en düşündürücü olanları.	There are many disturbing aspects to the rise of sex robots - not least of which is the replacement of real, human relationships - but the subservient female traits, the rapey connotations of making a move on Frigid (read: resistant) Farrah, are the most concerning.	There are many disturbing aspects of the rise of sex robots: not only the replacement of true human relations, but the personality traits of a highly obedient woman, the rapist connotations of approaching Frijit Farah are the most suggestive ones.	0			
1995	0.657	Muhabirlerden, her sütun için isimler önermelerini istiyorlar; hiçbir kanıta ihtiyaç yok, algılar ve iç sesler yeterli.	They ask the reporters to suggest names for each column - no proof is needed, perceptions and gut feelings are enough.	They ask reporters to suggest names for each column; no evidence is needed, perceptions and inner voices are enough.	0			
2851	0.665	HMX-1, başkanlık uçuşları için bütçe kayıtları tutmuyor ve organizasyon tarafından uğratılan kesin giderin tespit edilmesi zor.	HMX-1 doesn't maintain budgetary records for presidential flights, and determining the precise cost incurred by the event is difficult.	Hmx-1 does not keep budget records for presidential flights and it is difficult to determine the exact expenses incurred by the organization.	0			
1530	0.668	Değiştirmeme kararı, GSYH'nin ikinci çeyrekteki %0,3'e göre öncesindeki üç ayda %0,2 olmasıyla hayal kırıklığı yaratan son büyüme rakamlarının çoğalan artış beklentilerini hafifletmesi sonrasında geldi.	The no-change decision comes after recent disappointing growth figures have dampened mounting expectations of a hike, with GDP edging up to 0.3% in the second quarter from 0.2% in the previous three months.	The decision not to change was followed by the easing of the growing expectations of the latest growth figures, disappointing by the GDP being 0.2% in the three months ahead, compared to 0.3% in the second quarter.	0			
2994	0.674	Torunumun durumu iyi değil.	My granddaughter’s situation is not good.	My grandson is not well.	0			
2393	0.675	Mutko'ya göre bu, Rusya'yı endişelendirecek herhangi bir şey içermiyor.	According to Mutko, it does not contain anything that could cause concern for Russia.	According to Mutko, this does not include anything to worry Russia.	0			
2832	0.676	TIME'a temin edilen kayıtlardan ikinci bir uçuş mürettebatının sonuçta gerekli olup olmadığı belli olmuyor.	It was not clear from records provided to TIME whether a second flight crew was ultimately required.	It is unclear whether a second flight crew is ultimately required from the records provided to time.	0			
122	0.679	Meşale, Amerika Birleşik Devletleri'ne olan yolu aydınlatsın diye değil."	The torch is not to light the way to the United States."	The torch is not to shed light on the way to the United States."	0			
517	0.683	Önlem henüz Senato'ya oylama için getirilmedi.	The measure has not yet been brought to a vote in the Senate.	The measure has not yet been brought to the Senate for a vote.	0			
1270	0.683	Milyar dolar değil ama büyük bir yatırım.	It will not be a billion dollar one, but a big investment.	It's not a billion dollars, but it's a great investment.	0			
2804	0.688	Cinsiyet hoşnutsuzluğu rahatsızlığının cinsel eğilim ile herhangi bir bağlantısının olmadığı biliniyor.	Gender dysphoria is known to have no connection to a person’s sexual orientation.	Sexual aversion disorder is known to have no relation to sexual orientation.	0			
767	0.69	Kesinlikle hiç kimse gülmüyor.	Absolutely no one laughs.	Absolutely no one laughs.	0			
1809	0.69	Özelikle ağrıların devam ettiği hasta grubunda girişimsel yöntemlerin (epidural enjeksiyon, radyofrekans teknikleri, disk içi girişimler gibi) denenmesi gerektiğini belirten Oğuz Karaeminoğulları, "Tüm bu yöntemlerden eğer başarı elde edilemiyorsa, bacaklardaki uyuşukluk ve güçsüzlük belirginleşiyorsa, o zaman ameliyat zorunlu hale gelir" uyarısında bulunuyor.	Underlining the fact that, especially in those groups of patient in which pains continue, invasive methods (such as epidural injections, radio frequency techniques, in-disc invasive methods) would be utilized, Oguz Karaeminogullari reiterated that "If there is no success with any of these methods, and if numbness in the legs and weakness is becoming more obvious, then surgery will become necessary".	Oğuz Karaeminoğulları, stating that Interventional methods (epidural injection, radiofrequency techniques, intraperitonetics) should be tried in the patient group where the pain continues, warns that "if these methods fail to achieve success, if numbness and weakness in the legs become evident, then surgery becomes obligatory".	0			
2180	0.696	Ama hükümet onu istemedi.	But, the government did not want him.	But the government didn't want it.	0			
1235	0.696	Tam tersine en ufak bir sorunları olduklarında bize gelecekler, biz çözeceğiz.	On the contrary, upon even the tiniest of their problems, they will come to us and we will resolve it.	On the contrary, they will come to us when they have the slightest problem, and we will solve it.	0			
1561	0.699	Eylülden itibaren, yüksek HIV riski taşıyan kişiler, İngiltere'de NHS tarafından finanse edilen bu deney yoluyla, gerçekten kişiye özel kontrol edilen ve bir eşle müzakereye açık olmayan yeni ve güçlü bir araca ulaşacaklar; bu durum, birçok yaşamın iyileşmesine yol açacak.	From September, people at high risk of HIV will have access via this NHS-funded trial in England to an empowering new tool that is truly individually controlled and not subject to negotiation with a partner, leading to the improvement of many, many lives.	From September onwards, people at high risk for HIV will have access to a new, powerful tool that is truly personal-controlled and not open to negotiation with a spouse through this NHS-funded experiment in the UK, which will lead to the recovery of many lives.	0			
1692	0.699	Belki bu kampanya görevlileri geri kalanımızın bilmediği bir şeyler biliyor, mesela Trump'ın tweet'lerinin, kendilerinin müdahaleleri olmasa çok daha kışkırtıcı olacağı.	Maybe these campaign officials know something the rest of us don't - that Trump's tweets would have been even more inflammatory if not for their interventions.	Maybe these campaign officials know something the rest of us don't know, for example, that Trump's tweets would be much more provocative without their intervention.	0			
1216	0.701	Belki bu şartlar oluşmasa, bölgesel bazı gelişmeler olmasa, çarpan etkisiyle daha fazla bir artış görebilirdik.	If these conditions hadn’t arisen and some of the regional problems had not developed, we could have seen a greater increase with a multiplier effect.	Maybe if these conditions were not formed, if there were no regional developments, we could see a greater increase in the impact of the multiplier.	0			
2474	0.705	"Çünkü eğer takip etmezseniz çalışanlar şöyle düşünecek, 'Beni gerçekten işittin mi?	"Because if you don't follow through, employees will wonder, 'Did you really hear me?	Cause if you don't follow, your employees will think,' did you really hear me?	0			
2059	0.708	Kimin kaçırıldığına ya da nasıl olduğuna dair resmi bir açıklama yoktu, bu yüzden şehirdeki herkesin bildiğini yazma zamanı geldiğinde ihtiyat hakim oldu: Restoran hem uyuşturucu kaçakçılarının hem de otoritelerin gözdesiydi.	There was no official word on who was abducted or how it happened, so caution set in when it came time to write what everyone in the city knows: that the restaurant is a favorite of both drug traffickers and authorities.	There was no official explanation of who was kidnapped or how, so when it came time to write what everyone in the city knew: the restaurant was the Favourite of both drug smugglers and authorities.	0			
2334	0.711	Bu sırada ziyaret de edilemiyordu, fotoğrafı da çekilemiyordu, o yüzden Chelsea'ye ulaştılar ve bir DNA portresinin yapılmasına ilgi duyup duymadığını sordular.	And she couldn't be visited and she couldn't be photographed at that time, so they reached out to Chelsea and asked if she'd be interested in having a DNA portrait made.	They couldn't be visited, and they couldn't be photographed, so they reached Chelsea and asked him if he was interested in making a DNA portrait.	0			
2399	0.717	Fakat herhangi bir devlet programı yok ve biz var olmamış olan bir şeyi kabul etmeyeceğiz."	But there were no state programs, and we will not admit something that didn't exist."	But there is no government program, and we will not accept anything that did not exist."	0			
109	0.729	Miller gerçekte haklı fakat kendisinin de söylediği gibi, bu gerçekten tarihle ilgili değil.	Miller is factually correct, but as he put it himself, this is not really about history.	Miller is actually right, but as he says, it's not really about history.	0			
2075	0.732	"Narko-gazetecilik" adını verdiği son kitabında, gazetecilerin sadece uyuşturucu çeteleri tarafından değil, politikacıların ve organize suç ile işbirliği içerisinde olan güvenlik güçlerinin emriyle öldürülmekte olduklarını yazdı.	In his last book, "Narco-journalism," he wrote that reporters are being killed not just by drug gangs but on the order of politicians and security forces in cahoots with organized crime.	In his last book entitled "narco-journalism," he wrote that journalists were killed not only by drug gangs but also by politicians and security forces in cooperation with organised crime.	0			
337	0.732	Toplu taşıma yok.	There is no public transport.	No public transport.	0			
1763	0.735	"İlçede nefes alınmıyor" dedi.	"The district cannot breathe" he said.	"The county is not breathing," he said.	0			
243	0.744	Aradığım sorunun yanıtını bir türlü bulamıyorum.	I cannot find the answer I am searching for to the question.	I can't find the answer to the question I'm looking for.	0			
2748	0.745	Daha önümde yaşayacağım bir hayat vardı; bu hiç adil değil.	I had a life to live before me; this isn’t fair.	I had a life in front of me, and it's not fair.	0			
1117	0.745	"Bugün size birçok duayla ve düşünceyle anlatacağım... bugün Batı Virginialılar olarak size anlatacağım, size Demokrat bir Vali olarak artık yardım edemiyorum."	"Today I will tell you with lots of prayers and lots of thinking ... today I will tell you as West Virginians, I can't help you anymore being a Democratic governor."	"Today I will tell you many prayers and thoughts ... today I will tell you as Western virginians, I can no longer help you as a democratic Governor."	0			
52	0.749	"Daha önce duymadığımız oranda şikayetler duyuyoruz."	"We are hearing complaints at a rate we haven't heard before."	"We hear complaints at the rate we have not heard before."	0			
79	0.75	Irak ile yaşadığımız geçmiş tecrübeler bizi bu duruma getirdi ve haklarımızı alıp, korunabileceğimizin garantisi yok.	Our past experiences with Iraq have brought us to this situation, and there is no guarantee that we will ever secure our rights and be protected.	Past experiences with Iraq have brought us to this situation and there is no guarantee that we can take our rights and be protected.	0			
2744	0.764	"Kapıyı açarak çıkmaya çalıştık, ama çok fazla duman vardı ve asansör de çalışmıyordu" dediği belirtildi.	"We tried to go out the door, but the smoke was excessive and the lift wasn’t working" she said.	"We tried to open the door, but there was too much smoke, and the elevator was not working," he said.	0			
2007	0.765	"Neden olduğunu bilmediğimiz sürece, kimseye güvenmiyorsunuz."	"As long as we don't know why, you distrust everyone."	"As long as we don't know why, you don't trust anyone."	0			
1238	0.767	Göreceksiniz ki, ne Alman şirketleri, ne de herhangi bir şekilde politik olarak bazı sorun yaşadığımız ülkelerden gelen yatırımcılar bir sıkıntı yaşamayacaklar.	You will see that no German company, or any other investors coming from countries with which we have some political issues, will experience any difficulty.	You will see that neither German companies, nor investors from countries where there are political problems in any way will be a problem.	0			
2646	0.767	Fakat iş onların "kişiliklerine" geldiğinde, robotlar açıkça gerçek kadınları temsil edemiyor.	But, pointedly, when it comes to their "personalities" the robots do not represent real women.	But when it comes to their "personalities", robots can't clearly represent real women.	0			
2616	0.769	Tam siz 2017 yılı daha da garipleşemez diye düşünürken seks robotu sektöründeki teknolojik gelişmelerle ilgili yeni bir rapor çıkageliyor.	Just when you thought 2017 couldn't get any weirder along comes a new report on the technological developments in the sex robot sector.	Just as you think 2017 can't get any weirder, there comes a new report on technological developments in the sex robot industry.	0			
339	0.77	Bırakın gazetecileri, çok az Endonezyalı buraya seyahat etmiş ve hemen hemen hiçbir yabancı buraya seyahat etmemiş.	Very few Indonesians have made the journey here, let alone journalists, and practically no foreigners.	Let alone journalists, very few Indonesians have travelled here, and almost no stranger has ever travelled here.	0			
947	0.773	Transferde bir sürpriz yok.	There are no surprises in transfers.	There's no surprise in the transfer.	0			
2689	0.778	Almanya'dan gelen Hasan Ulu ise, Çeşme ya da Bodrum sahilleri yerine Tunceli'de Munzur Çayı kıyısını tercih ettiklerini ve bu yüzden pişman olmadıklarını söyledi.	Coming from Germany, Hasan Ulu said that they chose Munzur River instead of coastal Cesme or Bodrum and that they are not regretting their decision.	Hasan Ulu from Germany, instead of çeşme or Bodrum beaches, they prefer the coast of Munzur tea in Tunceli and therefore they are not regretted.	0			
743	0.801	"Fakat beni dinlemiyorsan ya da başıma neler geldiğini dinlemiyorsan seninle bir ilişki geliştiremem."	"But I can't build a relationship with you, if you won't hear me, or hear what I've been through."	"But if you're not listening to me or listening to what happened to me, I can't develop a relationship with you."	0			
2026	0.805	Sinaloa'da "narkotik konusuna değinmeden gazetecilik yapmak imkansızdı," dedi Bojorquez.	In Sinaloa, "it was impossible to do journalism without touching the narco issue," said Bojorquez.	"It was impossible to do journalism without mentioning the narcotics issue," Bojorquez said in Sinaloa.	0			
2771	0.826	İltihaplanmayı tetiklemeye muktedir olan hücreler, zarar vermeden hassas dokuları koruyarak dayanmayı teşvik eden hücrelerle dengeleniyor.	Cells that are capable of triggering inflammation are balanced by cells that promote tolerance, protecting the body without damaging sensitive tissues.	The cells that are able to trigger inflammation are balanced with cells that promote resilience by protecting delicate tissues without damaging them.	0			
426	0.829	Bazıları asla bir daha görülemiyor.	Some never reappear.	Some of them are never seen again.	0			
721	0.829	Kendisi için bu yeniden canlandırma, dramatik bir eyleme çağrı ve Monroe toplumuna bir adaletlesizliğin hiç düzeltilmediği yıllık bir hatırlatma niteliği taşıyor.	For him, the reenactment serves as a dramatic call to action and an annual reminder to the Monroe community that an injustice has never been corrected.	For him, this revival is a dramatic call to action and an annual reminder to Monroe society that injustice has never been corrected.	0			
1867	0.829	Biz istesek de istemesek de bir çok klasik pazarımız çökmüş durumda.	Whether we wanted it or not, many of our classical markets have collapsed.	Whether we like it or not, many of our classic markets have collapsed.	0			
2480	0.829	Vitrona şöyle konuştu: "Eğer bir şeffaflık kültürü oluşturmaya bağlı değilseniz, insanları kaybedersiniz."	"If you're not committed to creating a culture of transparency, you're going to lose people," Vitrano said.	Vitrona said: "If you are not committed to creating a culture of transparency, you will lose people."	0			
111	0.831	"Perişan istenmeyenin" ekranlarımızda bu kadar görünür olduğu bir zaman hiç olmamıştı.	There has never been a time when the "wretched refuse" has been more visible on our screens.	There has never been a time when the "undesired" was so visible on our screens.	0			
2246	0.84	"'Bu bizim alışageldiğimiz türden ve tipik diyebileceğimiz bir cinayet değil.'	"'This isn't the type of murder that we've become used to and can call typical.'	"'This is not the kind of murder we are accustomed to and what we call typical.'	0			
1234	0.842	Bunların bizim için Türk şirketlerinden bir farkı yok.	For us, they are no different than Turkish companies.	For us, they are no different from Turkish companies.	0			
1972	0.842	Boyun mümkün olduğunca sabit tutulmalı, hareket ettirilmemeli, sert bir yakalıkla tespit edilmeli.	The neck must be kept stable, not be moved, and to the extent possible held in place by a hard collar.	The neck should be kept as fixed as possible, should not be moved, should be identified with a hard collar.	0			
2298	0.845	Zincirlerimizden başka kaybedecek hiçbir şeyimiz yok."	We have nothing to lose but our chains."	We have nothing to lose but our chains."	0			
1563	0.857	Terrence Higgins Trust'ın başkanı Ian Green şöyle konuştu: 'Öncelik şu anda deneyin ülke çapında hızlı bir şekilde sunulmasının ve HIV riski olan kimsenin arkada bırakılmamasının sağlanması olmalı.	Ian Green, chief executive of the Terrence Higgins Trust, said: 'The priority must now be to make sure that the trial is rolled out speedily across the country, and that no-one at risk of HIV is left behind.	Ian green, Head of Terrence Higgins trust, said: "the priority should be to ensure that the experiment is presented rapidly across the country and that no one at risk of HIV is left behind.	0			
2723	0.873	Şu ana kadar herhangi bir haber alamadık bir ipucu da bulamadık.	So far we have not received any news nor found any clues.	So far, we haven't heard any news, and we haven't found a clue.	0			
2181	0.876	Çok özetle anlatmaya çalışıyorum, Deniz Kuvvetleri'nde en tepeden başlarsak 1, 3, 4 ve 5 numaralı komutanlar terfi ettirilmedi.	I am trying to explain briefly, starting from the top, how the number 1, 2, 3, 4 and 5 commanders in the Naval Forces were not promoted.	In a nutshell, if we start from the top of the Navy, the commanders 1, 3, 4 and 5 were not promoted.	0			
858	0.878	Oyunun kendisi yüzünden intihar etmiş olamaz.	He could not have committed suicide only because of the game itself.	Couldn't have committed suicide because of the game itself.	0			
2468	0.886	Eğer üçüncü parti analiz araçları çalışanların içtenliğini ve ait hissetmesini arttırmayı vadediyorsa, destek bulmaları şaşırtıcı değil.	If third-party analytics tools promise to increase employee commitment and engagement, it's no wonder they're finding backing.	If third party analysis tools promise to increase employee intimacy and feeling of belonging, it's no wonder they find support.	0			
678	0.888	Dünyada ne kadar bölgesel krizler olursa olsun, Türkiye'nin bölgenin ve dünyanın en güvenilir yatırım yapılabilir ülkelerinin başında geldiğini bu ihale ile ortaya koymaktan dolayı büyük bir gurur duydum.	No matter how many regional crisis occur in the world, this tender makes me feel proud that Turkey is showing that it is the most trustworthy and most investable country in the region and in the world.	No matter how many regional crises in the world, I am very proud to announce that Turkey is one of the most trusted investment countries in the region and the world.	0			
1744	0.891	Hasarların sigorta şirketleri tarafından karşılanması için itfaiyeden rapor alan sürücülerin bir çoğu bildirimlerini yaparken, bugüne kadar rapor almayan sürücüler de rapor için kuyruğa girdi.	While most drivers were reporting to their insurance companies with a report that they had obtained from a fire station so that their damages could be paid, those who had not obtain a report before today queued up for their report.	Most of the drivers who received reports from the fire department to cover damages by insurance companies, while drivers who have not received reports so far have been queuing up for the report.	0			
667	0.891	Siemens-Türkerler-Kalyon Enerji konsorsiyumu hiç mola kullanmadı.	Siemens-Turkerler-Kalyon Energy consortium took no recesses.	Siemens-Türkerler-Kalyon energy Consortium never used a break.	0			
2850	0.9	Sikorksky'den bir sözcü, helikopterin güney çimlerinde sergilenmesinin ayarlanmasına firmalarının katılmadığını söyledi.	A spokesperson for Sikorsky said the company was not involved in arranging for the helicopter to be displayed on the South Lawn.	A spokesman for sikorksky said their firm did not participate in the setting up of the helicopter on the southern lawn.	0			
2174	0.902	Ordumuzda hemen hiç görülmemiş bir uygulamadır.	This practice has virtually never been seen in our army.	It's practically unprecedented in our army.	0			
1153	0.903	Gözyaşlarımı tutamadım.	I could not hold back my tears.	I couldn't hold my tears.	0			
2190	0.904	Rütbece üstün olan bir oramiral, kendisinden kıdemsiz olan bir korgeneralin emrinde görev yapmaz, yapamaz.	A full admiral, higher in rank, cannot perform his duties under a lieutenant general, who is his junior.	An Admiral who is superior to rank, does not serve under the command of a lieutenant general who is without rank.	1			
2857	0.922	2015'teki bir RAND araştırmasına göre Savunma Bakanlığı'nın masraf karşılama oranları personel giderlerini içermiyor fakat yakıt, bakım ve kontrat giderlerini içeriyor.	According to a 2015 RAND study, DoD reimbursement rates do not include the cost of personnel, but do account for fuel, maintenance, and contracting costs.	According to a Rand survey in 2015, the Department of Defense's cost-benefits do not include staff costs, but include fuel, maintenance and contract costs.	0			
104	0.925	Adil olmak gerekirse Miller heykelin kendisine saldırmadı.	In fairness, Miller did not attack the statue itself.	To be fair, Miller didn't attack the statue itself.	1			
2837	0.929	"Made in America" organizasyonu Beyaz Saray tarafından resmi bir organizasyon olarak belirlenmiş ve Hatch Kanunu'nun kapsamına girmiyor.	The "Made in America" event was designated an official event by the White House, and would not have been covered by the Hatch Act.	The" Made in America " organization is designated by the White House as an official organization and is not covered by the Hatch act.	0			
454	0.929	"Onlar paraya ihtiyaç duymuyor, sadece adalet istiyorlar." diyor.	"They don't need money, they just want justice," he says.	"They don't need money, they just want justice."he says.	0			
2028	0.932	Muhabirler, sansür korkusu olmadan can alıcı araştırmalar yayımlamaya bayılıyorlardı ve okurlar da hiç kimsenin haberleştirmeye cesaret edemediği hikayeleri okuyabildikleri bir yayına kendilerini kaptırmışlardı.	Reporters loved being able to publish hard-hitting investigations without fear of censorship, and readers were fascinated by a publication where they could read stories nobody else dared to cover.	Reporters loved to publish life-saving research without fear of censorship, and the readers got caught up in a broadcast where they could read stories that no one dared to communicate.	0			
1308	0.939	PSG'nin durumunu konuşmaya yetkili olmadıkları için, gizli kalmak koşuluyla The Associated Press'e konuştular.	They spoke to The Associated Press on condition of anonymity as they were not authorized to discuss the PSG situation.	Since they were not authorized to talk about the status of the PSG, they spoke to The Associated Press on condition of anonymity.	0			
1782	0.951	Kuruluş sosyal medyadaki bir açıklamasında şöyle söyledi: "Bizim için insan hayatının kurtarılması, en önemli önceliğimizdir ve öyle olacaktır, bu yüzden şu anda arama ve kurtarma bölgesinde çalışamayacağımız için çok üzgünüz."	"For us the rescue of human life is and will be our top priority, so we are very sorry we will not be able to operate in the search and rescue zone at the moment," the organisation said in a statement on social media.	"Saving human life for us is our most important priority, and it will be, so we are very sorry that we can't work in the search and rescue area right now."	0			
2048	0.951	O ve diğerleri, Sinaloa'da eski kuralların geçerli olmadığını söylüyor; aynı Tamaulipas, Veracruz, Guerrero ve zehirli bir karışım olan karlı kaçakçılık rotaları, zayıf kurumlar ve yolsuz hükümet görevlilerine ev sahipliği yapan diğer eyaletlerde geçerli olmadığı gibi...	The old rules, he and others say, no longer apply in Sinaloa - just as they don't in Tamaulipas, Veracruz, Guerrero and other states that are home to a toxic mix of lucrative smuggling routes, weak institutions and corrupt government officials.	He and others say that old rules do not apply in Sinaloa; they do not apply in Tamaulipas, Veracruz, Guerrero and other states that host a toxic mixture of profitable trafficking routes, weak institutions and corrupt government officials...	0			
