a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source
991	0.759	В девятом туре РПЛ нас ждет захватывающее противостояние: "Спартак" примет на своем стадионе в Тушине "Ростов" под руководством Валерия Карпина - человека, как известно, совсем не чужого "народной команде".	Exciting clash awaits fans in ninth round of Russian Premier League Spartak will take on Rostov at its stadium in Tushino under the leadership of Valery Karpin, a man who, as we know, is no stranger to the “people's team”.	In the ninth round of the RPL, an exciting confrontation awaits us: "Spartak" will host "Rostov" at its stadium in Tushin under the leadership of Valery Karpin - a man, as it is known, not at all alien to the "people's team".	0		
708	0.785	"Я даже ложку не мог держать"	"I could not even hold a spoon"	"I couldn't even hold a spoon"	0		
1078	0.792	По ее словам, средняя зарплата депутата составляет 380 тысяч рублей, от которых ничего не остается, поэтому приходится расходовать средства с кредитной карты.	In her words, the average pay of a deputy is 380 thousand rubles, from which nothing is left over, so it is necessary to spend money with a credit card.	According to her, the average salary of a deputy amounts to 380,000 roubles, from which nothing remains, so it is necessary to spend funds from a credit card.	0		
1590	0.794	Пострадавших и разрушений, по данным ведомства, нет.	According to the department, there are no injured persons or damage.	There were no injuries or damage, according to the agency.	0		
649	0.802	По его мнению, это обусловлено тем, что "у так называемого нового либерального порядка, который олицетворяют с Западом, нет ответов на вопросы, как решать мировые проблемы в силу очевидного дефицита идей в глобальном пространстве, дефицита идей по поводу того, как решать проблемы Ближнего Востока, проблемы терроризма, проблемы нераспространения ядерного оружия, проблемы миграции".	In his opinion, this is due to how "the so-called new liberal order, represented by the West, does not have answers to the questions of how to solve international problems due to the obvious lack of ideas in the global space, the lack of ideas on how to solve the problems of the Middle East, problems of terrorism, problems of nonproliferation of nuclear weapons, problems of migration".	According to him, this is due to the fact that "the so-called new liberal order, which is personified with the West, has no answers to the questions of how to solve the world's problems because of the obvious shortage of ideas in the global space, the shortage of ideas about how to solve the problems of the Middle East, the problems of terrorism, the problems of nuclear non-proliferation, the problems of migration".	0		
20	0.805	Речь идет о публикации бизнесмена в Twitter, где он заявил о желании выкупить акции Tesla по $420 за штуку, но так и не сделал этого.	In his Twitter, the businessman claimed that he’d like to buy all Tesla shares at $420 per piece, but he never did it.	It comes after the businessman posted on Twitter that he wanted to buy back Tesla shares at $420 apiece, but never did so.	0		
1552	0.805	Здесь пытаются организовать раздачу продовольствия, питьевой воды, медикаментов и других предметов первой необходимости, но несмотря на принимаемые меры, гуманитарной помощи на всех не хватает.	Here they are trying to organize the distribution of food, drinking water, medicines and other essentials, but despite the measures taken, there is not enough humanitarian aid for everyone.	They are trying to organize the distribution of food, drinking water, medicines and other basic necessities, but despite the measures being taken, there is not enough humanitarian aid for everyone.	0		
1242	0.805	"Консолидированного мнения пока нет", - подчеркнул ученый.	"There is no consolidated opinion yet", - the scientist emphasized.	"There is no consolidated opinion yet", the scientist stressed.	0		
1902	0.809	По словам пресс-секретаря, нынешний референдум решает вопрос о переименовании страны и не более того, тогда как стратегическая цель партии - добиться членства в НАТО и ЕС.	According to the press secretary, the current referendum decides the issue of renaming the country and nothing more, since the strategic goal of the party is to achieve NATO and EU membership.	According to the spokesman, the current referendum resolves the question of renaming the country and nothing more, whereas the strategic goal of the party is to achieve membership in NATO and the EU.	0		
1169	0.813	И теперь уже зрители не готовы прощать Агутину такой несправедливости.	And now the viewers are not ready to forgive Agutin for such an injustice.	And now viewers are no longer prepared to forgive Agutin for such an injustice.	0		
1282	0.821	Однако этими тремя интересными профессиями деятельность клуба не ограничивается - слушатели многочисленных курсов и семинаров также смогут научиться парусному делу, медицине катастроф, пройти парашютную подготовку и получить начальные знания по психологии.	However, the club’s activities are not limited to just these three interesting professions. Students will be able to select from numerous courses and seminars where they will be able to learn about sailing or disaster medicine, undergo parachute training, and gain basic knowledge of psychology.	However, these three interesting professions are not limited to the activities of the club - students of numerous courses and seminars will also be able to learn sailing, disaster medicine, parachute training and basic knowledge of psychology.	0		
1486	0.838	Но "давление" и "довлеть" этимологически не только не близки, но и даже в каком-то смысле противоположны.	But "pressure" and "loom over" are etymologically not only not close and are even in some sense opposed in meaning.	But "pressure" and "domination" are etymologically not only not close, but even in a sense opposite.	0		
1409	0.843	Я бы на месте Карреры на это никак бы не реагировал.	If I were in Carrera’s place I wouldn’t have reacted at all.	I wouldn't have reacted in Carrera's place to that.	0		
725	0.864	Если бы не Ирина, меня бы и в живых сейчас не было.	If it were not for Irina, I would not be alive now.	If it hadn't been for Irina, I wouldn't be alive now.	0		
1232	0.889	Поскольку наличных у потерпевшего не было, незнакомец приказал снять деньги с банковской карточки.	Since the victim had no cash, the stranger ordered him to withdraw money with his bank card.	As the victim did not have any cash, the stranger ordered the money to be withdrawn from the bank card.	0		
1780	0.891	Где было снято видео, актриса не сообщила.	The actress did not report where the video was shot.	The actress did not say where the video was shot.	0		
697	0.929	Концерт, проведение которого запланировано на 29 сентября, так и не был отменен.	The concert, which was planned to he held on 29 September, was nonetheless not canceled.	The concert, which is scheduled for September 29, was never canceled.	0		
1004	0.941	Дело в том, что приборы не зафиксировали приближение волны.	The fact is that sensors did not detect the approaching wave.	The fact is that the instruments did not detect the approach of the wave.	0		
803	0.951	На теме апокалипсиса деньги делают не только производители видеоигр, киностудии и книжные издательства.	The theme of the apocalypse is not just profitable for video game makers, film studios, and book publishers.	On the theme of the apocalypse, it is not just video game manufacturers, film studios, and book publishers that make money.	0		
718	0.974	Там ложку не мог держать, стоять не мог, падал все время.	There I could not hold a spoon, could not stand, and fell over all the time.	I couldn't hold a spoon there, I couldn't stand up, I was falling all the time.	0		
1323	0.976	Сам Хэмилтон после заезда заявил, что не гордится этой победой.	After the race Hamilton himself stated that he was not proud of this victory.	Hamilton himself said after the race that he was not proud of that victory.	0		
1750	0.997	В эту сумму входят не только штрафы и компенсации.	This figure includes not only fines and compensation.	This amount includes not only fines and compensation.	0		
1549	1.031	Они там, должно быть, в полной темноте, без света, но мы могли только поддержать их словами...	They must be there in complete darkness, without light, but we could only support them with words...	They must be there in total darkness, with no light, but we could only support them with words...	0		
901	1.081	"Они не похожи.	"They are not alike.	"They are not alike.	0		
1577	1.112	"К сожалению, они не привлекают такого же внимания, как выходки негодяев".	"Unfortunately, they do not draw the same attention as the mischief of scoundrels."	"Unfortunately, they do not attract the same attention as the antics of scoundrels".	0		
632	1.112	Главный тренер "Локомотива" Юрий Семин рассказал о важности Мануэла Фернандеша, который не может договориться о новом контракте с клубом.	Lokomotiv head coach Yuri Semin spoke about the importance of Manuel Fernandez, who has not been able to agree on a new contract with the club.	Lokomotiv head coach Yuri Semin spoke about the importance of Manuel Fernandes, who cannot agree on a new contract with the club.	0		
1560	1.119	В том положении, в котором мы оказались, иначе просто нельзя!	In the position in which we find ourselves, we have no other option!	In the position we find ourselves in, you simply cannot do otherwise!	0		
1228	1.127	Но как выяснилось - далеко не все с этим согласны.	However, as it turns out, not everyone agrees with this.	But as it turns out - not everyone agrees.	0		
814	1.135	Вооружения в автомобиле нет.	The automobile does not have any weapons.	There are no weapons in the vehicle.	0		
636	1.136	Глава комитета Совета Федерации по международным делам Константин Косачев считает 73-ю сессию Генассамблеи ООН успешной для России и не исключает, что она сможет стать поворотной в восприятии РФ как неотъемлемого участника решения глобальных мировых проблем.	The head of the Federation Council committee on foreign affairs Konstantin Kosachev considers that the 73rd session of the UN General Assembly was successful for Russia and does not exclude that it could become a turning point in the perception of the Russian Federation as an integral participant in the solution of global world problems.	Head of the Federation Council Committee on International Affairs Konstantin Kosachev considers the 73rd session of the UN General Assembly a success for Russia and does not rule out that it could become a turning point in the perception of the Russian Federation as an integral participant in the solution of global world problems.	0		
600	1.153	Ингушское село Даттых, где якобы планируется добывать нефть, не будет передано Чечне.	The Ingush village Dattykh, where there are ostensible plans to obtain oil, will not be transferred to Chechnya.	The Ingush village of Dattykh, where it is allegedly planned to extract oil, will not be handed over to Chechnya.	0		
1682	1.466	Беженцы и мигранты не должны считаться другими, а сама миграция - мать этого общества.	Refugees and migrants shouldn’t be treated as aliens, and immigration itself is the mother of this society.	Refugees and migrants should not be counted as others, and migration itself is the mother of that society.	0		
942	1.466	Киргизский "Боинг" не смог вылететь из Оша в Москву из-за лопнувших при взлете шин правого переднего шасси.	The Kyrgyz Boeing was unable to depart from Osh to Moscow due to buses on the right front chassis that burst during takeoff.	The Kyrgyz Boeing was unable to fly from Osh to Moscow because the tires of the right front landing gear burst during take-off.	0		
