a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source_cue
448	0.507	Warum es nie mit den Männern geklappt habe?	Why did it never work out with men?	Why did it never work out with the men?	0		nie
250	0.512	Wie alle traten auch die Kinder zum Finale noch einmal auf - und klangen sogar ohne elektronische Unterstützung "richtig gut", wie Franke sagte.	Like everyone else, the children also performed again for the finals - and even without electronic support, they sounded "really good," Franke said.	Like everyone else, the children performed again for the finale - and even without electronic support, they sounded "really good," as Franke said.	0		ohne
1527	0.517	An einem Kongress der Tafeln am Freitag in Berlin nahm der Essener nicht teil.	The man from Essen did not participate at a congress of the Tafel in Berlin on Friday.	The Essen man did not take part in a congress of the boards on Friday in Berlin.	0		nicht-V
1526	0.517	Es sei Aufgabe des Staates dafür zu sorgen, dass Menschen nicht verhungerten.	It would be the government’s obligation to ensure that people did not starve to death.	It was the task of the state to ensure that people did not starve to death.	0		nicht-V
1826	0.522	Eine Prognose zur Ausfallzeit gab der VfB Stuttgart nicht ab.	A downtime forecast was not given by VfB Stuttgart.	VfB Stuttgart did not give a forecast for the downtime.	0	ref and system use different forms (active vs. passive)	nicht-V
1684	0.525	Donnerstag hieß es dann, ein Übergreifen des Brands auf angrenzende Gemeinden drohe nicht mehr.	On thursday, it was reported that there is no longer a threat of the fire spreading to adjacent communities.	Thursday, it said the fire was no longer threatening to spread to neighboring communities.	0	ref and system use different forms  	nicht mehr
1607	0.527	Doch die sechs noch verbleibenden Starter konnten seine Fabelzeit von 89,69 Sekunden nicht toppen.	Yet the six remaining starters could not top his best time of 89.69 seconds.	But the six remaining starters could not top his fabulous time of 89.69 seconds.	0		nicht-V
378	0.541	Keine Spur von Scheu oder Fracksausen, die Unabhängigen machen ihr Ding.	No trace of shyness or getting the heebie-jeebies. The independents are doing their thing.	No hint of shyness or tailgating, the independents are doing their thing.	0		kein
293	0.542	Nirgendwo im Frankenwald wurde ein Ort so durch die Eisenbahn geprägt.	Nowhere in the Franconian forest has a place been characterized by the railway so much.	Nowhere in the Franconian Forest has a place been so shaped by the railway.	0		nirgendwo
1850	0.543	Eine Medaille war das Ziel, ich war in Topform, aber es wollte einfach nicht sein.	My goal was to win a medal. I was in peak form, but it just wasn’t to be.	A medal was the goal, I was in top form, but it just wasn't to be.	0		nicht-V
451	0.548	Leider ist diese Vision nicht alltagstauglich.	Unfortunately, this vision is not compatible with daily life.	Unfortunately, this vision is not suitable for everyday use.	0		nicht-ADJ
474	0.552	Und George Clooney, der seit Jahren für besagte Marke wirbt, ist an dem Abend auch nicht hier.	And George Clooney, who has been advertising for the brand mentioned for years, is also not there on the evening.	And George Clooney, who has been promoting the brand for years, is not here for the evening either.	0		nicht-ADV
184	0.554	Dem Münchner bekam der Ausflug in den hohen Norden aber gar nicht gut.	The trip didn’t do the actor any good, though.	But the trip to the far north did not go well for the Munich native.	0		nicht-ADJ
1513	0.557	"Besser können es Köche auch nicht", lobte eine Besucherin beeindruckt, während Hokkaido-Kürbissuppe serviert wurde oder sich die Gäste an Quiche, Leberkäse oder Kuchen bedienen durften.	Professional chefs could not do any better either, an impressed visitor said, while Hokkaido pumpkin soup was served and the guests enjoyed quiche, meatloaf or cake.	"Chefs can't do better either," praised one impressed visitor, while Hokkaido pumpkin soup was served or guests were allowed to help themselves to quiche, liver cheese or cake.	0		nicht-V
11	0.558	Berlin DFB-Präsident Reinhard Grindel sieht derzeit keine Grundlage für eine Rückkehr von Mesut Özil in die Nationalmannschaft.	Berlin - The president of DFB Reinhard Grindel sees no basis for the returning of Mesut Özil to the national team.	Berlin DFB president Reinhard Grindel currently sees no basis for Mesut Özil's return to the national team.	0		kein
1156	0.56	Wir wussten das zwar, aber so einen Spieler kann man halt nicht komplett rausnehmen.	We knew it, but you just can't completely take out a player like that.	We knew that, but you can't take a player like that out completely.	0		nicht-V
1653	0.564	Ehrlich gesagt konnte ich es als ihr Präsident nicht verdauen, dass unsere zwei jungen Männer, die bis in die deutsche Nationalmannschaft aufgestiegen sind, ausgegrenzt wurden.	Frankly speaking, as their president, I could not accept the fact that our two young men, who had been risen to the German national team, were excluded.	To be honest, as their president, I could not digest the fact that our two young men, who have risen to the top of the German national team, were marginalised.	0		nicht-V
1963	0.571	"Das war sehr emotional, das war großer Sport", meinte später Tedesco über die Reaktion seinen Vize-Kapitäns, der trotz seines erneuten Reservisten-Daseins keinerlei Groll hegte.	That was very emotional, he is such a great sport, Tedesco said later about the reaction of his vice-captain, who holds no grudge despite his seat on the bench.	"It was very emotional, it was great sport," Tedesco later said of the reaction of his vice-captain, who held no grudges despite being a reserve again.	0		kein
1477	0.581	Er habe daher bei Erdogan "deutlich gemacht, dass wenn die Beziehungen sich normalisieren sollen in der Zukunft, wenn die wirtschaftlichen Beziehungen vertieft werden sollen, dass dafür Rechtsstaatlichkeit eine ganz wichtige Voraussetzung ist".	He therefore made it clear to Erdogan that "if in the future relations are going to become normal and if economic relations are going to deepen, then the rule of law is a very important condition."	He had therefore "made it clear to Erdogan that if relations are to normalise in the future, if economic relations are to be deepened, the rule of law is a very important prerequisite for this."	0	no negation, why is this here?	n/a
210	0.584	Nicht nur der Müll treibt Radfahrer und Anwohner um - die Sitzgruppe ist an Wochenenden regelmäßiger Treffpunkt zum Feiern.	Not only the rubbish is a nuisance for cyclists and residents - on weekends the seating group is a regular meeting place for partying.	It's not just the rubbish that drives cyclists and residents around - the seating area is a regular meeting place for partying at weekends.	0		nicht nur
1956	0.586	Nicht nur das: Jetzt, Anfang Oktober, erfolgt laut Frick dort der Start für den Neubau einer Kindertagesstätte.	Not only this: At the start of October, Frick says the new construction of a daycare center will begin.	Not only that: now, at the beginning of October, according to Frick, the start of the construction of a new day care center will take place there.	0		nicht nur
754	0.588	Paris - Offiziell kein Thema und doch allgegenwärtig: Der Dieselskandal und das Ringen um Fahrverbote und Nachrüstungen dürfte die deutschen Autokonzerne auch beim Branchentreffen in Paris nicht loslassen.	Paris - Officially not an issue and yet immanent The diesel scandal and struggle for bans on driving and upgrading should not let German car companies take part in the industry meeting in Paris.	Paris - Officially not an issue, but still omnipresent: the diesel scandal and the struggle for driving bans and retrofits should not let go of the German car companies even at the industry meeting in Paris.	0		kein, nicht-V
196	0.589	Wie Ina Müller das nächtliche Saufgelage überstanden hat, ist bislang nicht bekannt.	We still don't know how Ina Müller survived the binge drinking at night.	It is not yet known how Ina Müller survived the night-time binge.	0		nicht-V
188	0.589	An seine Fans gerichtet postete er einige - wohl nicht ganz ernstgemeinte - Erkenntnisse, die er nun gewonnen hat: "Regel eins: geht NIE zu Inas Nacht.	Addressing his fans, he posted some - probably not entirely serious - insights he learnt: "Rule one: NEVER go to Inas Night.	Addressing his fans, he posted some - probably not entirely serious - insights he has now gained: 'Rule one: NEVER go to Ina's night.	0		nie
5	0.591	Am Nachmittag wartet erneut eine Überraschung auf unsere Kandidatinnen: sie werden das romantische Candlelight-Shooting vor der MY SOLARIS nicht alleine bestreiten, sondern an der Seite von Male-Model Fabian!	In the afternoon there is another surprise waiting for our contestants: they will be competing for the romantic candlelight photo shoot at MY SOLARIS not alone, but together with a male-model Fabian!	In the afternoon, another surprise awaits our candidates: they will not do the romantic candlelight shoot in front of the MY SOLARIS alone, but at the side of male model Fabian!	0	ref and system use different forms	nicht-ADV
513	0.591	Neuen Erkenntnissen zufolge könnte die Vermisste möglicherweise nicht weit entfernt von ihrem damaligen Wohnort vergraben worden sein.	According to new findings, the missing woman may have been buried not far from her former home.	New evidence suggests the missing woman may have been buried not far from where she lived at the time.	0		nicht-ADV
515	0.591	Die Ermittler schlossen damals auch ein Verbrechen nicht aus.	Investigators at the time did not rule out foul play.	Investigators did not rule out a crime at the time.	0		nicht-V
1231	0.6	Die haben wir nicht in den Griff bekommen", so ASG-Coach Dogan Aydogdu.	We did not get that under control, said ASG coach Dogan Aydogdu.	We didn't get a grip on them, "said ASG coach Dogan Aydogdu.	0		nicht-V
10	0.6	DFB-Chef Grindel sieht keine Grundlage für Özil-Comeback	The president of DFB Grindel sees no basis for the returning of Özil	DFB chief Grindel sees no basis for Özil comeback	0		kein
1743	0.604	Da Zuschauer nicht erlaubt waren, gab es am Samstagnachmittag eine Show, bei der Teilnehmer gegen Gäste aus dem Publikum mit Taschenrechner antraten.	On Saturday afternoon there was a show where competitors competed against guests with calculators among the audience as spectators are not allowed to watch the competition.	Since spectators were not allowed, there was a show on Saturday afternoon, in which participants competed against guests from the audience with calculators.	0		nicht-V
1985	0.607	Eine rasche Rückkehr in die Wachstumszone ist nicht in Sicht: Die Exportaufträge in der Eurozone fielen so stark wie seit November 2011 nicht mehr.	A quick return to the growth zone is not in sight: Export orders to the eurozone have not fallen this much since November 2011.	A rapid return to the growth zone is not in sight: export orders in the eurozone fell at their fastest rate since November 2011.	0		nicht-PP
424	0.612	Der Parkplatz neben der Autobahn 52, der normalerweise für Shuttle-Verkehr zur Messe genutzt wird, war weitgehend leer, andere Menschen wurden bei dem Absturz nicht verletzt.	The parking lot next to the 52 highway that is normally used for shuttle transport to the conference, was relatively empty, other people were not injured in the crash.	The parking lot next to Highway 52, which is normally used for shuttle traffic to the fair, was largely empty, and no other people were injured in the crash.	0	ref and system use different forms	nicht-V
187	0.623	Doch er ist nicht krank, er hat nur einen mächtigen Kater.	But he is not ill, he only has quite a hangover.	But he's not sick, he just has a powerful hangover.	0		nicht-ADJ
1400	0.623	Nein zu Hass und Gewalt	No to hate and violence	No to hatred and violence	0		nein
427	0.634	Die Absturzursache war zunächst unklar - das Wetter war gut, es gab leichten Wind und Sonnenschein.	The cause of the crash was not clear - the weather was good, there was a slight wind and sunshine.	The cause of the crash was initially unclear - the weather was good, there was light wind and sunshine.	0		un-
1180	0.634	Drei Tage war der türkische Präsident in Berlin und Köln zu Gast, und viele hatten gemeint, er hätte eigentlich gar nicht eingeladen werden sollen.	The Turkish President was a guest in Berlin and Cologne for three days and many thought he should never have been invited.	The Turkish President spent three days in Berlin and Cologne, and many had thought that he should not have been invited at all.	0		nicht-V
1902	0.641	Damit war er nicht der einzige Schalker.	He was not the only one at Schalke.	So he was not the only Schalke player.	0		nicht-V
225	0.644	Es gibt keine Abbiegespur auf den Haaße-Hügel.	There is no turning lane on Haaße Hügel.	There is no turning track on the Haaße hill.	0		kein
227	0.644	Das sei für sportliche Fahrer kein Problem, wohl aber für Ältere und besonders für Kinder.	That would not be a problem for sporty cyclists, but is for older people and especially for children.	This is not a problem for sporty drivers, but probably for older people and especially for children.	0		kein
206	0.644	Eine Lösung gebe es bisher nicht.	There is no solution so far.	So far, there is no solution.	0		nicht-V
391	0.649	Wohin die Reise für die Unabhängigen geht, scheint nach gerade drei Spieltagen nicht absehbar.	After just three matchdays, it does not seem foreseeable where the independents’ journey goes.	After just three days of play, it seems impossible to predict where the independents will go.	0	ref and system use different forms	nicht-ADJ
870	0.653	Dennoch hatten die Planer und Handwerker mit den vielen Vorgaben ein Heim errichtet, das den Bewohnern die Freiheit erleben lasse, sich auch ohne fremde Hilfe bewegen zu können.	Nevertheless, the planners and handymen built a home with many specifications, to allow residents the freedom to move even without outside help.	Nevertheless, the planners and craftsmen had built a home with the many specifications, which allowed the inhabitants to experience the freedom of being able to move without outside help.	0		ohne
758	0.654	Ein großer Name fehlt in Paris: Der Volkswagen-Konzern ist zwar mit Audi, Porsche und weiteren Töchtern dabei, nicht aber mit der Kernmarke VW selbst.	A big name is missing in Paris: The Volkswagen group is there with Audi, Porsche and other subsidiaries, but not with the VW core brand itself.	A big name is missing in Paris: the Volkswagen Group is present with Audi, Porsche and other subsidiaries, but not with the core VW brand itself.	0		nicht-PP
808	0.655	In gemütlicher Atmosphäre kamen die Eltern ins Gespräch, während die Kinder nicht nur den Prozess des Apfelpressens verfolgen konnten, sondern auch die aufgebaute Hüpfburg für sich entdeckten.	In a comfortable atmosphere, the parents got to talking while the children were not only able to follow the process of pressing apples, but also discovered the bouncy castle that had been set up.	In a cosy atmosphere, the parents got into conversation, while the children were not only able to follow the apple pressing process, but also discovered the built-up bouncy castle for themselves.	0		nicht-V
38	0.659	Für all das liefert sie in dem Clip keine Beweise.	Yet she does not offer any proof in the clip.	She provides no evidence for any of this in the clip.	0	ref and system use different forms	kein
382	0.676	Unzufrieden sind wir nicht". Im Gegenteil.	We are not dissatisfied.” Quite the contrary.	We are not unhappy. "On the contrary.	0		nicht-V
380	0.676	"Das war nicht glasklar, aber wir haben schon Eindruck hinterlassen", sagt der einigermaßen zufriedene Trainer.	It wasn't crystal clear, but we have already left an impression, says the reasonably satisfied coach.	"It wasn't crystal clear, but we made an impression," says the reasonably satisfied coach.	0		nicht-ADJ
396	0.676	Eine erste Bilanz lässt sich aber erst nach zehn, elf Partien ziehen.	But a conclusion can't be drawn until after ten or eleven games.	However, a first assessment can only be made after ten or eleven games.	0	ref and system use different forms, system following closer to source	lexical (erst nach zehn)
165	0.678	Seibert sagte, dass es nicht gestattet sei, bei Pressekonferenzen im Bundeskanzleramt politische Anliegen zu demonstrieren.	Seibert said that it was not permitted to demonstrate political concerns at press conferences in the federal chancellery.	Seibert said that it is not permitted to demonstrate political concerns at press conferences in the Federal Chancellery.	0		nicht-V
671	0.68	Die genauen Umstände zum Unfall sind noch nicht geklärt und Gegenstand der Ermittlungen.	The exact circumstances of the accident have not yet been clarified and are subject to investigation.	The exact circumstances surrounding the accident are not yet clear and are under investigation.	0	ref and system use different forms	nicht-V
670	0.68	Die vier Insassen wurden nur leicht verletzt und konnten selbstständig wieder nach Hause gehen.	The four passengers were not seriously injured and were able to return home themselves.	The four occupants suffered only minor injuries and were able to return home on their own.	0	ref and system use different forms, system following closer to source	lexical (nur leicht)
941	0.686	Die Separatisten haben den Polizeieinsatz vom Herbst 2017 nicht vergessen.	The autumn 2017 police operation was not forgotten by the separatists.	The separatists have not forgotten the police operation of autumn 2017.	0		nicht-V
1047	0.686	Maas appellierte an Bundesverkehrsminister Andreas Scheuer (CSU), sich in Brüssel für Regelungen einzusetzen, die den Flugsicherungen "die Luft nicht noch weiter abschnüren".	Maas appealed to Federal Transport Minister Andreas Scheuer (CSU), to promote regulations in Brussels that would not "keep on depriving air traffic controllers of oxygen".	Maas appealed to Federal Transport Minister Andreas Scheuer (CSU) to lobby in Brussels for regulations that "do not further restrict air traffic control services."	0		nicht-V
172	0.69	Auch ausländische Journalisten sind vor den türkischen Behörden nicht sicher: Erst Anfang September wurde der österreichische Journalist Max Zirngast verhaftet.	Even foreign journalists are not safe from Turkish authorities: At the beginning of September, the Austrian journalist Max Zirngast was arrested.	Foreign journalists are also not safe from the Turkish authorities: Austrian journalist Max Zirngast was only arrested at the beginning of September.	0		nicht-ADJ
166	0.69	Das gilt völlig unabhängig davon, ob es sich um ein berechtigtes Anliegen handelt oder nicht.	no matter if it is a legitimate concern or not.	This applies regardless of whether it is a legitimate concern or not.	0	ref and system use different forms	oder nicht
467	0.729	Das ist seit Jahren so, scheint also ohne grosse Verluste zu funktionieren.	It has been like this for years and seems to function without any major losses.	This has been the case for years, so it seems to work without major losses.	0		ohne
462	0.729	Was muss man sich bei einem Artikel über dieses Festival nicht alles einfallen lassen, um nicht in Schleichwerbung für dessen 190 Partnerfirmen zu verfallen.	What do you have to come up with when writing an article about this festival, so as not to fall into hidden advertising for its 190 partner companies.	What do you not have to come up with in an article about this festival, in order not to fall into surreptitious advertising for its 190 partner companies.	0		nicht-PP
1486	0.73	Und wir sind auch deren Ansprechpartner - und nicht der türkische Präsident.	And we are their contact persons - and not the Turkish president.	And we are also their point of contact - and not the Turkish President.	0		nicht-NP
532	0.73	Musk ließ erklären, er habe nichts Falsches getan und sei traurig und enttäuscht über die Klage.	Musk explained that he did nothing wrong and is very sad and disappointed about the lawsuit.	Musk said he had done nothing wrong and was saddened and disappointed by the lawsuit.	0		nichts
1013	0.738	In Lengerich haben Unbekannte auf wohl kaum förderliche Art und Weise für den Bau einer Skateanlage geworben.	In Lengerich, unknown people have advocated for the construction of a skate park in a hardly beneficial way.	In Lengerich, unknown people have promoted the construction of a skate park in a hardly conducive way.	0		un-
803	0.74	Dank einer gewissen technischen Unterstützung fiel der letzte Arbeitsschritt gar nicht mehr so schwer.	Thanks to certain technical support, the last work step was now no longer so difficult.	Thanks to a certain amount of technical support, the final work step was no longer so difficult.	0		nicht mehr
1430	0.749	Dass die Zuneigung für den ob seiner martialischen Drohgebärden berüchtigten "Rocket Man" - so Trumps Spitzname für Kim - nicht jedem geheuer sein dürfte, schien dem US-Präsidenten durchaus bewusst zu sein.	The US president seemed to be fully aware, that not everyone was fond of the affection for the notorious martial threats of the "Rocket Man" - so Trump’s nickname for Kim.	The US president seemed well aware that the affection for the "Rocket Man" - Trump's nickname for Kim - notorious for his martial threatening gestures might not be to everyone's taste.	0	ref and system use different forms	nicht jedem
1960	0.755	Zum dritten Mal hintereinander nicht in der Startelf: Trotzdem bedankt sich Naldo bei Schalke-Trainer Domenico Tedesco.	Not in the starting lineup for the third time in a row: Nevertheless, Naldo thanks Schalke coach Domenico Tedesco.	Not in the starting line-up for the third time in a row: Nevertheless, Naldo thanks Schalke coach Domenico Tedesco.	0		nicht-PP
1488	0.763	Während US-Präsident Trump nicht müde wird, die Erfolge bei den Verhandlungen über die Denuklearisierung Nordkoreas zu betonen, stellt das ostasiatische Regime die Verhältnisse nüchterner dar.	While US President, Trump does not tire of highlighting the success of negotiations over North Korea’s denuclearization, the East Asian regime is describing relations more demurely.	While US President Trump never tires of emphasizing the successes of negotiations on North Korea's denuclearization, the East Asian regime presents a more sober picture.	0	ref and system use different forms	nicht-V
1023	0.764	Zusagen gebe es bereits, erläutert Jörg Hesselmann vom städtischen Fachbereich Schule, Sport und Kultur, ohne Namen zu nennen.	There are already pledges, explains Jörg Hesselmann from the urban department of schools, sports and culture, without naming names.	There are already commitments, explains Jörg Hesselmann from the municipal department of school, sport and culture, without naming names.	0		ohne
1892	0.765	Die Erleichterung war in der gesamten Arena spürbar, natürlich auch bei Tedesco.	The relief was felt throughout the entire arena, not least by Tedesco.	The relief was palpable throughout the arena, including Tedesco, of course.	0	ref and system use different forms; only ref uses negation cue (not really negation)	n/a
1507	0.781	Dabei war der Start mit der neuen Einrichtung nicht gerade einfach, wie sich Henriette Westbuer, die Leiterin des HoT, erinnert.	The start was not easy, as Henriette Westbuer, head of the HoT, remembers.	The start with the new facility was not exactly easy, as Henriette Westbuer, the head of the HoT, remembers.	0		nicht-ADJ
1041	0.782	Maas kritisierte erneut, dass verschiedene Luftverkehrs- Gewerkschaften nicht zu dem Gipfel eingeladen wurden.	Maas again criticized the fact that different air transport trade unions were not invited to the summit.	Maas again criticised the fact that various air transport unions were not invited to the summit.	0		nicht-V
1037	0.782	Ein wichtiger Grund für die zahlreichen Verspätungen und Flugausfälle sei die seit langem bekannte Personalnot bei den europäischen Flugsicherungen, für die es keine schnelle Lösung gebe.	He said that the well known staff shortages plaguing European air traffic controllers are an important reason for the numerous delays and flight cancellations and that there is no quick fix to this problem.	An important reason for the numerous delays and flight cancellations is the long-known shortage of staff at European air traffic control services, for which there is no quick solution.	0		kein
1035	0.782	Frankfurt/Hamburg Nach dem europäischen Luftverkehrschaos im Sommer sehen die deutschen Fluglotsen keine Anzeichen für eine Verbesserung im kommenden Jahr.	Frankfurt / Hamburg After the chaos affecting European air traffic in the summer, German air traffic controllers see no signs of improvement in the coming year.	Frankfurt / Hamburg After the European air traffic chaos in the summer, German air traffic controllers see no signs of improvement in the coming year.	0		kein
1966	0.785	Es war nicht einfach, ihm das mitzuteilen	It was not easy to tell him	It wasn't easy to tell him that.	0		nicht-ADJ
1668	0.813	Zu einem Personalienaustausch kam es aber nicht, da der 75-Jährige die Dame auf dem Parkplatz nicht mehr finden konnte.	No exchange of personal data occured as the 75 year old could no longer find the lady in the parking lot.	There was no exchange of personnel, however, as the 75-year-old could no longer find the lady in the parking lot.	1	change in meaning due to change of object in negated clause	nicht-V; nicht mehr
1494	0.819	Dass Strafmaßnahmen Nordkorea auf die "Knie zwingen" könnten, sei "ein Wunschtraum von Leuten, die uns nicht kennen".	The idea that North Korea could be ‘brought to its knees’ due to the sanctions, is ‘a pipe dream of people who don’t know us’.	That punitive measures could "bring North Korea to its knees" is "a pipe dream of people who don't know us."	0		nicht-V
1504	0.845	Dass sie sich eigentlich in einem Jugendtreff befanden, davon bekamen die vielen Besucher des Hauses der offenen Tür HoT nichts mit: Weiße Decken und Blumenschmuck auf den Tischen und ein großes Buffet warteten auf die Gäste nach dem Erntedank-Gottesdienst.	The many visitors of the House of the Open Door (HoT) didn’t realise the fact that they were actually in a youth club: White blankets and floral decorations on the tables and a large buffet were waiting for the guests after the Thanksgiving service.	The fact that they were actually in a youth meeting place was not noticed by the many visitors to the HoT open house: white blankets and floral arrangements on the tables and a large buffet were waiting for the guests after the Thanksgiving service.	0		nicht-V
1416	0.845	Dass der US-Präsident Nordkoreas Machthaber Kim trotz Atomkrise durchaus wohlgesonnen ist, ist kein Geheimnis.	It is no secret that the US President is well disposed towards North Korea’s ruler Kim, despite the nuclear crisis.	It is no secret that the US president is sympathetic to North Korea's leader Kim, despite the nuclear crisis.	0		kein
1128	0.853	Hoetmars Trainer Averhage machte aus seiner Enttäuschung keinen Hehl.	Hoetmar’s trainer Averhage made no secret of his disappointment.	Hoetmar's coach, Averhage, made no secret of his disappointment.	0		kein
1809	0.87	Es liegen immer noch viele Leichen herum, viele Menschen wurden noch nicht gefunden und werden vermisst.	There are still lots of bodies lying around, many people have not been found and are missing.	There are still many bodies lying around, many people have not yet been found and are missing.	0		nicht-V
1463	0.876	Ob Sachen bzw. Geld gestohlen wurden, kann noch nicht gesagt werden.	It is not possible to say whether items or money were stolen.	It is not yet possible to say whether items or money were stolen.	0		nicht-V
1427	0.876	Und nicht nur die Gespräche mit Kim hätten sein Herz zum Schmelzen gebracht.	And not only the conversations with Kim had brought his heart to melt.	And it wasn't just the talks with Kim that would have melted his heart.	0		nicht nur
1426	0.876	Nein, wirklich.	No, really.	No, really.	0		nein
830	0.898	Dieses Mal passte Haller auf seinen Sturmpartner Rebic, der sich gekonnt durchtankte und 96-Torwart Michael Esser keine Chance ließ.	This time, Haller passed to his fellow striker Rebic, who skillfully dribbled through the lines leaving 96 goalkeeper Michael Esser no chance.	This time Haller matched his storm partner Rebic, who skillfully tanked his way through and gave 96-goalkeeper Michael Esser no chance.	0		kein
590	0.898	Bei den Unionsanhängern wünschen sich demnach 64 Prozent eine Kandidatur, 35 Prozent nicht.	In the case of the unionists, 64 percent want a candidacy, 35 percent do not.	Among Union supporters, 64 percent would like to be a candidate, while 35 percent would not.	0	ellided V	nicht-V (ellipsis)
1493	0.904	"Ohne jegliches Vertrauen in die USA wird es kein Vertrauen in unsere nationale Sicherheit geben und unter solchen Umständen gibt es keinen Weg, dass wir uns als erste selbst entwaffnen", führte der nordkoreanische Chefdiplomat aus.	Without any trust in the US, there is no trust in our national security and under such circumstances there is no way that we can disarm ourselves first, the North Korean head diplomat said.	"Without any confidence in the United States, there will be no confidence in our national security, and in such circumstances, there is no way that we will be the first to disarm ourselves," the North Korean chief diplomat said.	0	multiple negations	ohne; kein; kein
913	0.918	Ohne Streit kommt eine von so vielfältigen, mitunter widersprüchlichen Interessen gezeichnete Gesellschaft nicht voran.	Without dispute, a subscribed society of such diverse, sometimes contradictory interests does not progress.	Without dispute, a society marked by such diverse, sometimes conflicting interests cannot move forward.	0	ref and system use different forms, and different aux verbs (modal in system)	ohne; nicht-V
1661	0.933	"Wenn da einer ohne Migrationshintergrund deutlich in die Gesellschaft und den Fußball hineinwirkt und sagt: "Das Thema ist wichtig, da müssen wir uns kümmern", das wäre auch eine Initiative, um für eine bessere Grundlage zu sorgen für unsere Vereine vor Ort, wo Integration funktionieren muss", sagte Grindel.	If somebody without a migration background is an obvious influencer in society and football and says: The issue is an important one, we need to do something about it’, this would also be an initiative to provide a better foundation for our local teams, where integration needs to work’, Grindel said.	"If someone without a migrant background has a clear impact on society and football and says," The issue is important, we have to take care of it, "that would also be an initiative to provide a better basis for our clubs on the ground, where integration has to work," Grindel said.	0		ohne
1246	0.939	Essen hat im Zweierriegel angenommen, ist aber nicht ins Spiel gekommen.	Essen played with two lines, but has not come into play.	Essen accepted in the two-bar, but did not come into play.	0		nicht-PP
1659	0.961	Eine Grundlage für eine Rückkehr Özils ins Nationalteam sieht er aber auch nicht.	Yet he does not see grounds for Özil to return to the national team.	But he also does not see a basis for Özil's return to the national team.	0		nicht-V
915	0.981	Es geht hier immer noch um Politik, nicht um Theater.	It is about politics, not theater.	This is still about politics, not theatre.	0		nicht-PP
1656	0.989	Dass jemand sagt: Wenn ich gewinne, bin ich Deutscher, wenn ich verliere, bin ich Migrant - das geht nicht.	That thing they say: If I win - I’m German, if I lose - I’m a migrant - that will not work.	For someone to say: If I win, I am German, if I lose, I am a migrant - that is not possible.	0		nicht-V
701	1.014	Den Geburtstermin verriet sie nicht.	She did not reveal the date of birth.	She did not reveal the date of birth.	0		nicht-V
1496	1.018	Von der US-Seite habe es darauf jedoch keine "entsprechende Reaktionen" gegeben, kritisierte der Minister.	However, the USA has shown no "corresponding reactions" to that, the minister criticised.	However, there has been no "corresponding reaction" from the US side, the minister criticised.	0		kein
1649	1.018	Gleichzeitig erklärte Grindel erneut, dass Erdogan nicht für die Werte des Fußballs und des DFB stehe.	Grindel also explained again that Erdogan does not stand for the values of football and the DFB.	At the same time, Grindel reiterated that Erdogan does not stand for the values of football and the DFB.	0		nicht-PP
1813	1.019	Das Tsunami-Warnsystem hat nicht richtig funktioniert.	The tsunami warning system did not work correctly.	The tsunami warning system did not work properly.	0		nicht-ADJ
1469	1.036	Der 75-Jährige aus Pleinfeld befand sich den Angaben zufolge trotz der kalten Nächte und der langen Zeit ohne Versorgung in gutem gesundheitlichen Zustand.	The 75-year-old from Pleinfeld was apparently found in a healthy conditions despite the cold nights and long period without supplies.	The 75-year-old from Pleinfeld was said to be in good health despite the cold nights and the long time without care.	0		ohne
1471	1.036	Der Rentner war von seiner Familie als vermisst gemeldet worden, nachdem er am Dienstag von einer Fahrt mit seinem Geländewagen über die örtlichen Wiesen und Felder nicht zurückgekehrt war.	The pensioner had been reported missing by his family, when on Tuesday he did not return from a journey in his SUV across local grassland and fields.	The pensioner had been reported missing by his family after failing to return from a drive in his SUV across the local meadows and fields on Tuesday.	0	ref and system use different forms - "did not return" vs. "failing to return"	nicht-V
739	1.065	Liverpool nicht mehr Tabellenleader	Liverpool is no longer table leader	Liverpool no longer league leaders	0		nicht mehr
1795	1.131	Nein, ich war zu dem Zeitpunkt gerade in Jakarta auf der Insel Java.	No, I was in Jakarta on Java island at the time.	No, I was in Jakarta on the island of Java at the time.	0		nein
1353	1.131	Erreicht keiner der Kandidaten in der ersten Wahlrunde die absolute Mehrheit, gibt es am 28. Oktober eine Stichwahl.	If none of the candidates reach absolute majority in the first round, there will be a runoff election on October 28th.	If none of the candidates reaches an absolute majority in the first round of voting, there will be a run-off on 28 October.	0		kein
1815	1.131	Wir kennen die Gründe dafür nicht, aber als die Entwarnung kam, dachten viele "Okay, kein Tsunami" - und dann kam er doch.	We do not know the reasons for this, but when the all-clear was given, many people thought ‘OK, no tsunami’, and then it came.	We don't know the reasons for this, but when the all-clear came, many thought, "Okay, no tsunami" - and then it came.	0		nicht-V
501	1.132	Bieletzki hütet sich üblicherweise davor, die Schuld bei anderen zu suchen.	Bieletzki usually does not seek blame with others.	Bieletzki is usually wary of blaming others.	0	ref and system use different forms - "not seek blam" vs. "be wary", but meaning is intact	lexical
